id,name,show1,show2,show3,show4,show5,show6,show7,show8,show9,show10
29,Oscar,0,"((1971, 'demons'), 39)",0,"((1998, 'magic'), 83)","((2010, 'one shot'), 55)",0,0,0,0,0
30,Lewis,"((2001, 'gender bender'), 36)",0,"((1993, 'demons'), 85)",0,"((1986, 'ecchi'), 57)",0,"((2005, 'magic'), 1)","((1987, 'yuri'), 57)",0,0
31,Peter,0,0,"((1983, 'gender bender'), 50)","((2008, 'school'), 82)",0,0,0,"((1997, 'kids'), 23)","((1995, 'parody'), 64)","((2002, 'doujinshi'), 60)"
32,Benjamin,0,0,"((1992, 'kids'), 16)",0,0,"((2018, 'martial arts'), 39)","((1991, 'gender bender'), 73)",0,"((1971, '4-koma'), 28)","((2013, 'one shot'), 36)"
33,Frederick,0,0,"((1994, 'vampire'), 58)","((1976, 'isekai'), 86)",0,0,0,"((1998, 'demons'), 30)","((1978, 'horror'), 29)","((2019, 'mecha'), 41)"
34,Willie,"((1997, 'historical'), 62)",0,0,"((1974, 'adventure'), 46)",0,0,"((2000, 'comedy'), 94)","((1977, 'fantasy'), 32)","((2015, '4-koma'), 57)","((1997, 'magic'), 7)"
35,Alfred,0,0,"((1980, 'horror'), 58)",0,0,"((1989, 'josei'), 78)","((2002, 'josei'), 44)","((2010, 'police'), 87)",0,0
36,Sam,0,"((2002, 'parody'), 54)",0,"((1988, 'doujinshi'), 28)","((1974, '4-koma'), 3)",0,"((1970, 'drama'), 83)",0,"((2019, 'demons'), 91)","((2006, 'horror'), 91)"
37,Roy,"((1979, 'action'), 7)",0,0,"((1990, 'mature'), 45)",0,"((2003, 'music'), 94)","((2000, 'magic'), 53)",0,"((1984, 'shoujo'), 70)",0
38,Herbert,"((2002, 'scifi'), 3)","((2002, 'doujinshi'), 49)",0,"((2016, 'comedy'), 85)",0,"((1980, 'yuri'), 13)",0,0,"((1998, 'comedy'), 49)","((1990, 'sounen'), 31)"
39,Jacob,0,"((1984, 'demons'), 47)","((1972, 'scifi'), 82)",0,0,0,"((2005, 'josei'), 56)","((2017, 'food'), 24)","((1979, 'parody'), 68)","((2013, 'food'), 56)"
40,Tom,0,0,"((1998, 'ecchi'), 65)",0,0,0,0,0,0,0
41,Elmer,"((1995, 'adult'), 13)",0,"((2014, 'mature'), 28)",0,0,0,"((1975, 'gender bender'), 49)","((2010, 'magic'), 64)","((2013, 'doujinshi'), 6)",0
42,Carl,"((2017, 'food'), 16)",0,0,0,"((1994, 'yuri'), 24)","((1978, 'kids'), 20)","((1983, 'doujinshi'), 32)","((2009, 'fantasy'), 22)",0,0
43,Lee,"((1985, 'mature'), 60)","((1990, 'historical'), 69)","((1987, 'food'), 66)","((2002, 'vampire'), 32)","((1998, 'police'), 90)",0,0,"((2016, 'gender bender'), 31)",0,0
44,Howard,"((1977, 'martial arts'), 96)","((2003, 'school'), 71)","((2017, 'gender bender'), 23)",0,0,0,0,0,"((1995, 'action'), 2)","((1978, 'vampire'), 91)"
45,Martin,0,0,0,"((2012, 'scifi'), 17)","((1970, 'yaoi'), 89)","((1991, 'sounen'), 81)",0,0,0,0
46,Michael,0,0,0,0,"((1989, 'martial arts'), 94)","((1998, 'adventure'), 77)","((1983, 'music'), 88)","((1985, 'comedy'), 31)",0,0
47,Bert,"((1988, 'school'), 91)","((1986, 'josei'), 82)",0,"((1987, 'gender bender'), 72)","((2006, 'doujinshi'), 82)",0,"((2008, 'doujinshi'), 83)","((1979, 'gender bender'), 1)",0,0
48,Herman,0,0,"((2017, 'music'), 88)",0,0,"((1996, 'ecchi'), 70)",0,"((2009, 'historical'), 13)",0,0
49,Jim,"((1985, 'isekai'), 33)","((2009, 'food'), 48)",0,0,"((1990, '4-koma'), 85)","((1986, 'mature'), 12)","((1987, '4-koma'), 29)","((1997, 'food'), 49)","((1996, 'shoujo'), 53)","((1984, 'scifi'), 71)"
50,Francis,"((2005, 'harem'), 51)","((2009, 'gender bender'), 32)","((1994, 'school'), 56)","((1984, 'magic'), 6)","((1988, 'fantasy'), 10)","((1985, 'horror'), 11)",0,"((2001, 'ecchi'), 12)","((1997, 'school'), 40)",0
51,Harvey,"((2013, 'sounen'), 19)",0,0,0,"((2003, '4-koma'), 57)",0,"((1974, 'demons'), 52)",0,"((2004, 'adult'), 26)",0
52,Earl,0,"((2005, 'fantasy'), 5)","((2018, 'josei'), 99)","((1977, 'harem'), 12)","((1973, 'scifi'), 10)",0,0,0,0,"((1987, 'parody'), 76)"
53,Eugene,0,"((1979, 'adventure'), 52)","((2010, 'comedy'), 72)",0,0,0,0,0,"((2018, 'one shot'), 65)","((1998, 'drama'), 64)"
54,Ralph,"((2000, 'martial arts'), 25)","((2017, 'isekai'), 76)",0,"((2002, 'action'), 32)","((2008, 'scifi'), 27)",0,0,0,"((1974, 'drama'), 32)","((1994, 'fantasy'), 40)"
55,Ed,0,"((1980, 'josei'), 17)","((1991, 'parody'), 77)","((2018, 'harem'), 76)","((2016, 'vampire'), 23)","((2007, 'scifi'), 26)","((1990, 'gender bender'), 47)","((1975, 'gender bender'), 13)","((1979, 'drama'), 40)",0
56,Claude,"((2019, 'police'), 37)",0,0,"((2015, 'horror'), 85)","((1994, 'martial arts'), 34)",0,0,"((2016, 'kids'), 91)","((1995, 'parody'), 36)","((1992, 'yaoi'), 75)"
57,Edwin,"((1994, 'martial arts'), 99)","((1997, 'historical'), 83)",0,0,"((2013, 'adult'), 24)","((2016, 'mature'), 68)",0,"((1975, 'ecchi'), 50)",0,"((1990, 'adult'), 69)"
58,Ben,"((1992, 'isekai'), 84)",0,0,0,"((1971, 'parody'), 35)","((1994, 'isekai'), 38)","((2000, 'adult'), 11)","((1998, 'food'), 98)","((2014, 'fantasy'), 35)","((1989, 'food'), 97)"
59,Charley,0,0,"((1988, 'drama'), 38)",0,0,0,0,"((1989, 'scifi'), 54)",0,0
60,Paul,0,"((1998, 'parody'), 23)",0,"((1988, 'kids'), 44)",0,0,"((2003, '4-koma'), 72)","((2014, 'demons'), 20)","((1976, 'historical'), 30)","((1971, 'sounen'), 85)"
61,Edgar,"((1978, 'kids'), 30)","((2002, 'fantasy'), 22)","((1997, 'martial arts'), 45)","((1995, 'yuri'), 57)","((2002, 'fantasy'), 39)","((2018, 'adventure'), 10)",0,0,0,"((1989, 'sounen'), 49)"
62,Isaac,"((1989, 'mature'), 53)","((2011, 'school'), 31)","((1998, 'vampire'), 40)","((1987, 'scifi'), 72)","((2015, 'food'), 49)","((1986, 'ecchi'), 84)",0,"((1971, 'ecchi'), 33)",0,0
63,Otto,0,"((1978, 'mecha'), 4)",0,"((2015, 'ecchi'), 26)","((1974, 'magic'), 23)",0,"((2014, 'one shot'), 14)","((2003, 'scifi'), 46)",0,0
64,Luther,0,0,0,"((2000, 'yuri'), 70)",0,0,0,0,"((1974, 'comedy'), 97)","((1990, 'vampire'), 53)"
65,Lawrence,0,"((1991, 'adult'), 77)","((1994, 'drama'), 65)","((1988, 'isekai'), 74)","((1985, 'action'), 16)",0,"((1970, 'ecchi'), 36)",0,"((2013, 'isekai'), 40)","((2015, 'food'), 60)"
66,Ira,"((1974, 'police'), 22)",0,0,0,"((1995, 'school'), 95)",0,"((1984, 'adventure'), 41)","((1998, 'historical'), 29)","((1998, 'police'), 96)",0
67,Patrick,"((1998, 'magic'), 23)","((1971, 'horror'), 31)","((1984, 'yaoi'), 4)","((2009, 'magic'), 19)","((1984, 'adult'), 44)","((1972, 'josei'), 77)",0,0,0,"((1996, 'food'), 38)"
68,Guy,"((1988, 'shoujo'), 42)",0,0,0,"((2001, 'shoujo'), 55)","((1993, 'doujinshi'), 25)",0,0,0,0
69,Oliver,"((1985, 'action'), 85)","((1999, 'fantasy'), 82)","((1994, 'martial arts'), 75)",0,0,"((2000, 'sounen'), 31)","((2006, 'police'), 15)","((1986, 'mature'), 92)","((2012, 'yaoi'), 32)","((2014, 'kids'), 81)"
70,Theodore,"((1995, 'police'), 79)","((2011, 'doujinshi'), 8)","((1990, 'harem'), 1)","((1981, 'gender bender'), 50)",0,"((1980, 'doujinshi'), 89)",0,0,0,0
71,Hugh,"((1993, 'parody'), 37)","((2007, 'harem'), 57)","((2009, 'yaoi'), 88)",0,0,0,"((1999, 'yuri'), 94)",0,0,0
72,Clyde,"((2001, 'sounen'), 41)","((1982, 'yuri'), 50)","((2006, 'shoujo'), 38)","((1978, 'school'), 15)","((2006, 'sounen'), 8)",0,0,"((2006, 'school'), 77)","((2015, 'adventure'), 62)",0
73,Alexander,0,"((1998, 'josei'), 91)",0,0,"((2006, 'adult'), 48)","((1980, 'yaoi'), 30)","((2018, 'doujinshi'), 31)",0,"((1978, 'josei'), 40)",0
74,August,"((1993, 'kids'), 67)",0,"((1987, '4-koma'), 97)",0,"((1993, 'action'), 17)",0,0,0,0,"((1989, 'ecchi'), 25)"
75,Floyd,0,"((1988, 'scifi'), 68)","((1989, 'demons'), 16)",0,"((2003, 'historical'), 51)","((2011, 'comedy'), 75)","((1986, '4-koma'), 29)","((1982, 'magic'), 34)",0,0
76,Homer,"((1998, 'action'), 63)","((1994, 'school'), 54)",0,"((1996, 'action'), 3)",0,0,0,0,"((1996, 'music'), 58)",0
77,Jack,0,"((2007, 'one shot'), 37)","((2017, 'action'), 89)",0,"((2013, 'ecchi'), 36)",0,"((1970, 'historical'), 12)",0,0,"((1974, 'ecchi'), 88)"
78,Leonard,"((2002, 'one shot'), 1)","((1979, 'adult'), 70)","((1975, 'harem'), 47)","((1977, 'historical'), 12)",0,"((1998, 'sounen'), 44)","((1994, 'gender bender'), 39)","((1970, 'mecha'), 72)","((2009, 'music'), 28)",0
79,Horace,0,0,"((1997, 'doujinshi'), 72)","((2016, 'fantasy'), 21)",0,"((2017, 'mecha'), 22)","((1979, 'josei'), 89)","((2012, 'gender bender'), 59)",0,"((2004, 'gender bender'), 42)"
80,Marion,0,0,0,0,"((1988, 'mecha'), 5)","((2001, 'gender bender'), 97)",0,0,0,0
81,Philip,0,"((2011, 'mecha'), 40)","((2010, 'vampire'), 30)","((1983, 'demons'), 7)","((1977, 'one shot'), 65)","((2011, 'adult'), 52)",0,0,"((2008, '4-koma'), 36)","((2019, 'comedy'), 65)"
82,Allen,0,0,0,"((1971, 'gender bender'), 79)",0,0,0,"((1983, 'ecchi'), 63)",0,0
83,Archie,"((1980, '4-koma'), 100)",0,0,"((1971, 'demons'), 100)",0,"((1986, 'drama'), 79)",0,"((1988, 'demons'), 19)","((1991, 'food'), 4)","((1995, 'adventure'), 100)"
84,Stephen,"((2011, 'doujinshi'), 63)",0,"((1971, 'action'), 75)",0,"((2011, 'ecchi'), 28)",0,"((2006, 'adult'), 86)","((2001, 'adventure'), 11)","((2014, 'vampire'), 89)","((1990, '4-koma'), 28)"
85,Chester,0,0,0,0,0,0,"((2006, 'gender bender'), 20)","((2004, 'gender bender'), 61)","((1989, 'shoujo'), 40)","((1977, 'isekai'), 28)"
86,Willis,0,0,"((2000, 'kids'), 47)",0,"((1998, 'demons'), 86)",0,"((1992, 'yuri'), 73)",0,0,0
87,Raymond,0,"((1975, 'doujinshi'), 30)","((2019, '4-koma'), 30)","((1987, 'adult'), 47)",0,0,"((2017, 'isekai'), 18)",0,"((1992, 'harem'), 19)",0
88,Rufus,0,0,"((1985, 'sounen'), 90)",0,"((1980, 'adventure'), 82)","((1980, 'drama'), 86)",0,"((2002, 'scifi'), 94)","((2014, 'doujinshi'), 46)","((2017, 'gender bender'), 95)"
89,Warren,"((2017, 'harem'), 92)","((1991, 'isekai'), 33)",0,0,0,0,"((1975, 'kids'), 44)",0,"((1977, 'sounen'), 24)",0
90,Jessie,0,"((1986, 'horror'), 73)",0,0,0,"((2008, 'shoujo'), 23)","((2011, 'adventure'), 82)","((1972, 'adult'), 53)","((1980, 'josei'), 97)","((1987, 'demons'), 46)"
91,Milton,"((2016, 'drama'), 34)",0,"((2007, 'drama'), 84)",0,0,"((1989, 'music'), 93)","((2007, 'vampire'), 16)",0,0,"((1988, 'doujinshi'), 18)"
92,Alex,0,0,"((1975, 'josei'), 89)","((1983, 'drama'), 42)","((1977, 'food'), 80)",0,"((1978, 'yuri'), 17)",0,"((1995, 'yuri'), 98)",0
93,Leo,"((1995, 'music'), 1)",0,"((1975, 'adult'), 81)",0,"((2002, 'police'), 68)",0,"((1997, 'adult'), 42)","((2014, 'sounen'), 41)",0,"((1983, 'school'), 36)"
94,Julius,0,0,0,0,"((2017, 'food'), 92)",0,"((1998, 'police'), 18)","((1979, 'parody'), 46)","((1973, 'ecchi'), 57)","((2000, 'school'), 95)"
95,Ray,0,"((1978, 'mature'), 78)",0,"((1979, 'mature'), 94)",0,"((1984, 'drama'), 20)",0,"((2000, 'horror'), 18)","((1987, 'kids'), 60)",0
96,Sidney,"((2002, 'josei'), 46)",0,0,0,0,"((1997, 'demons'), 58)","((2014, 'fantasy'), 16)",0,"((1988, 'vampire'), 31)","((1994, '4-koma'), 18)"
97,Bernard,"((1992, 'vampire'), 78)",0,"((1987, 'comedy'), 19)","((2014, 'sounen'), 79)",0,"((1978, 'adventure'), 27)","((1989, 'sounen'), 49)",0,"((2007, 'school'), 5)",0
98,Dan,0,0,"((2002, 'action'), 41)","((2016, 'mature'), 90)",0,0,"((2013, 'yuri'), 75)","((2004, 'harem'), 38)","((1978, 'horror'), 27)","((2003, 'one shot'), 65)"
99,Jerry,"((2000, 'fantasy'), 30)","((2013, 'adventure'), 5)",0,"((2013, 'comedy'), 100)","((2000, 'doujinshi'), 18)","((1975, 'sounen'), 4)","((1985, '4-koma'), 18)",0,"((1971, 'yaoi'), 39)",0
100,Calvin,"((1991, 'vampire'), 65)",0,"((1988, 'josei'), 20)",0,0,0,0,0,0,"((1973, 'scifi'), 69)"
101,Perry,0,"((1982, 'doujinshi'), 70)","((1986, 'gender bender'), 58)","((2014, 'music'), 82)",0,"((1970, 'school'), 3)","((1989, 'doujinshi'), 83)",0,0,0
102,Dave,0,"((2004, 'shoujo'), 78)","((2015, 'isekai'), 93)",0,"((1992, 'drama'), 48)",0,"((1977, 'mature'), 36)","((1988, 'shoujo'), 76)",0,"((1994, 'fantasy'), 30)"
103,Anthony,"((1987, 'adventure'), 71)","((2004, 'gender bender'), 55)",0,0,"((2000, 'demons'), 65)","((2018, 'music'), 16)","((2001, 'vampire'), 73)",0,"((1997, 'fantasy'), 65)",0
104,Eddie,"((2002, 'school'), 1)",0,"((1991, 'music'), 64)",0,"((1974, 'adventure'), 50)",0,"((1989, 'action'), 76)","((1989, 'comedy'), 13)","((1993, 'parody'), 87)",0
105,Amos,"((1987, 'one shot'), 14)","((1995, 'fantasy'), 8)",0,0,"((2016, 'isekai'), 89)","((1989, 'historical'), 13)",0,0,0,"((1984, 'ecchi'), 95)"
106,Dennis,0,0,0,"((2013, 'demons'), 35)","((1991, 'action'), 55)","((1978, 'isekai'), 82)","((1978, 'yuri'), 88)","((1983, 'shoujo'), 21)","((2001, 'magic'), 35)",0
107,Clifford,0,"((2003, 'sounen'), 13)",0,0,0,0,0,0,"((2003, 'scifi'), 24)",0
108,Leroy,"((1974, '4-koma'), 19)",0,"((1982, 'scifi'), 51)","((1974, 'vampire'), 70)",0,"((1979, '4-koma'), 33)",0,0,"((1987, 'music'), 63)",0
109,Wesley,"((1988, 'music'), 30)",0,"((1993, 'shoujo'), 87)",0,0,0,"((1998, 'one shot'), 72)",0,"((1982, 'scifi'), 73)","((1972, 'doujinshi'), 81)"
110,Alonzo,"((2011, 'harem'), 27)",0,"((1981, 'food'), 64)","((1995, 'sounen'), 17)",0,"((1997, 'food'), 32)","((2008, 'doujinshi'), 53)","((2018, 'demons'), 87)","((1991, 'yaoi'), 37)","((2017, 'vampire'), 89)"
111,Garfield,"((2010, 'one shot'), 19)",0,"((2015, 'yaoi'), 23)","((1975, 'scifi'), 64)","((1983, 'one shot'), 99)","((1997, 'isekai'), 99)",0,0,0,"((1987, 'magic'), 60)"
112,Franklin,"((2009, 'historical'), 14)","((2014, 'music'), 73)",0,0,"((1986, 'doujinshi'), 74)","((2008, 'yuri'), 76)",0,0,0,"((1994, 'gender bender'), 67)"
113,Emil,"((1987, 'sounen'), 52)","((1997, 'adult'), 63)","((1992, 'school'), 54)",0,"((1992, 'martial arts'), 3)","((2012, 'scifi'), 76)",0,"((1988, 'adventure'), 69)",0,"((1971, 'action'), 25)"
114,Leon,0,"((1986, 'adult'), 51)",0,"((1993, 'josei'), 5)",0,0,0,0,"((1998, 'shoujo'), 60)",0
115,Nathan,0,0,0,0,"((1978, 'isekai'), 62)",0,"((1994, 'scifi'), 11)","((1992, 'harem'), 76)","((2011, 'adult'), 62)",0
116,Harold,"((1985, 'scifi'), 94)","((2017, 'comedy'), 60)",0,0,"((2014, 'scifi'), 33)","((1983, 'scifi'), 79)","((1979, 'scifi'), 21)","((1984, 'action'), 17)",0,"((2007, 'harem'), 16)"
117,Matthew,0,"((2013, 'music'), 77)",0,0,0,"((2010, 'comedy'), 36)","((1993, 'shoujo'), 16)","((1993, 'vampire'), 42)","((1970, 'gender bender'), 70)","((2011, '4-koma'), 52)"
118,Levi,"((1986, 'school'), 66)",0,0,"((1985, 'josei'), 92)",0,0,0,"((2001, 'vampire'), 87)","((1974, 'mature'), 66)",0
119,Moses,"((2013, 'martial arts'), 40)","((1980, 'comedy'), 5)","((1986, 'sounen'), 42)",0,0,"((2006, 'magic'), 73)",0,"((2007, 'sounen'), 80)","((2011, 'music'), 98)",0
120,Everett,"((1993, 'yuri'), 53)","((2018, 'historical'), 86)",0,0,"((2007, 'isekai'), 23)",0,0,"((1987, 'josei'), 91)",0,"((1973, 'gender bender'), 97)"
121,Lester,0,0,"((2015, 'yuri'), 56)",0,"((1973, 'mecha'), 79)",0,"((1994, 'vampire'), 27)",0,"((2003, 'action'), 93)",0
122,Winfield,0,0,"((1984, 'drama'), 43)","((2010, 'gender bender'), 16)",0,0,0,0,0,"((2009, '4-koma'), 27)"
123,Adam,0,"((1993, 'one shot'), 63)","((1977, 'magic'), 55)",0,0,0,"((1973, 'gender bender'), 50)",0,"((1987, 'ecchi'), 89)","((2008, 'fantasy'), 78)"
124,Lloyd,"((2015, 'harem'), 48)","((1981, 'adventure'), 4)",0,0,0,"((1975, 'police'), 51)",0,0,0,0
125,Mack,0,0,"((1999, 'one shot'), 63)",0,"((1979, 'kids'), 10)","((2017, 'comedy'), 93)","((1973, 'adult'), 24)",0,"((1987, 'police'), 95)",0
126,Fredrick,0,"((2008, 'horror'), 25)","((1976, 'drama'), 36)","((2014, 'adult'), 51)","((2000, 'one shot'), 62)","((1987, 'scifi'), 99)","((2008, 'yaoi'), 65)","((1984, 'adventure'), 76)","((1977, 'school'), 5)","((2015, 'shoujo'), 78)"
127,Jay,"((1998, 'demons'), 45)","((1982, 'magic'), 45)",0,0,0,"((2005, 'ecchi'), 8)","((1997, 'action'), 13)",0,"((2019, 'harem'), 48)","((1976, 'shoujo'), 59)"
128,Jess,"((1982, 'adventure'), 53)","((1975, 'magic'), 48)","((1988, 'one shot'), 9)",0,"((1999, 'school'), 68)",0,0,"((2019, 'historical'), 65)",0,"((1979, 'school'), 26)"
129,Melvin,0,0,"((1995, 'josei'), 6)","((1986, '4-koma'), 68)",0,0,"((1989, 'school'), 42)","((1995, 'scifi'), 32)",0,"((1982, 'ecchi'), 82)"
130,Noah,"((2005, 'adventure'), 27)","((1986, 'scifi'), 1)","((1979, 'kids'), 89)",0,"((2003, 'shoujo'), 44)","((2000, 'gender bender'), 14)",0,0,0,0
131,Aaron,"((1984, 'shoujo'), 86)",0,0,"((2016, 'adventure'), 24)",0,0,0,0,0,0
132,Alvin,"((2008, 'adult'), 57)","((2007, 'mature'), 78)","((1991, 'action'), 100)",0,0,"((1980, 'yaoi'), 9)","((1988, 'shoujo'), 44)",0,"((1995, 'fantasy'), 17)","((2019, 'fantasy'), 37)"
133,Norman,"((2019, 'action'), 27)","((1989, 'police'), 36)",0,"((1984, 'horror'), 32)","((2016, 'scifi'), 41)",0,"((2000, 'isekai'), 29)",0,"((2014, 'drama'), 72)",0
134,Gilbert,0,"((1988, 'mature'), 6)","((2000, 'historical'), 48)",0,0,"((1986, 'scifi'), 88)",0,0,0,"((2016, 'demons'), 22)"
135,Elijah,"((2001, 'josei'), 98)",0,0,0,0,0,0,0,0,0
136,Victor,"((1976, 'one shot'), 56)",0,"((2012, 'gender bender'), 71)",0,"((1991, 'yaoi'), 57)",0,"((2012, 'police'), 43)","((1984, 'drama'), 45)",0,"((1985, 'comedy'), 44)"
137,Gus,0,0,0,0,"((1982, 'isekai'), 72)","((1999, 'parody'), 7)",0,"((1992, 'doujinshi'), 25)",0,"((2003, 'doujinshi'), 24)"
138,Nelson,0,0,0,"((1971, 'comedy'), 22)",0,"((1997, 'adventure'), 80)",0,"((1975, 'action'), 11)",0,"((1991, 'kids'), 14)"
139,Jasper,0,"((2018, 'drama'), 88)","((1986, 'adult'), 12)",0,0,"((1988, 'food'), 49)","((1978, 'ecchi'), 3)","((1980, 'food'), 6)","((2008, 'harem'), 56)",0
140,Silas,"((2014, 'sounen'), 90)",0,0,0,0,"((1984, '4-koma'), 39)",0,0,"((1997, 'food'), 51)","((2007, 'fantasy'), 79)"
141,Christopher,"((1988, 'gender bender'), 76)",0,"((2006, 'parody'), 6)","((2000, 'fantasy'), 95)","((1986, 'demons'), 88)",0,"((1987, 'drama'), 54)","((2007, 'parody'), 99)",0,"((1989, 'yuri'), 25)"
142,Jake,0,0,0,"((1998, 'mecha'), 91)","((1983, 'music'), 93)",0,"((1976, 'kids'), 33)","((2001, 'kids'), 70)","((1975, 'josei'), 93)","((1989, 'adult'), 79)"
143,Mike,0,0,"((1990, 'school'), 54)",0,0,"((1971, 'adventure'), 37)","((1973, '4-koma'), 28)",0,"((1985, 'doujinshi'), 4)",0
144,Percy,"((1979, 'kids'), 64)",0,"((2013, 'harem'), 64)","((1979, 'josei'), 99)",0,0,0,"((2016, 'police'), 92)","((2004, 'magic'), 97)","((2010, 'josei'), 54)"
145,Adolph,0,"((1999, 'horror'), 59)",0,0,"((1983, 'gender bender'), 45)","((2002, 'historical'), 26)","((1970, 'horror'), 96)",0,"((1976, 'mature'), 28)",0
146,Maurice,0,"((2004, 'kids'), 13)","((1988, 'action'), 49)",0,"((1978, 'adventure'), 61)",0,0,0,"((1990, 'adventure'), 19)",0
